Document Title,Topic 0 Weight,Topic 1 Weight,Topic 2 Weight,Topic 3 Weight,Topic 4 Weight,Topic 5 Weight,Topic 6 Weight,Topic 7 Weight,Topic 8 Weight,Topic 9 Weight,Topic 10 Weight,Topic 11 Weight,Topic 12 Weight,Topic 13 Weight,Topic 14 Weight
Voyant分析用最終版_0043,1.620745,1.620745,1.620745,4.376013,6.969206,1.620745,12.965964,1.78282,50.89141,1.78282,5.186386,1.620745,3.56564,2.755267,1.620745
Voyant分析用最終版_0044,3.731343,4.477612,3.731343,3.731343,3.731343,3.731343,3.731343,3.731343,26.119402,12.313433,3.731343,3.731343,13.432837,6.343284,3.731343
Voyant分析用最終版_0045,2.770083,2.770083,2.770083,4.709141,21.052632,2.770083,2.770083,6.371191,2.770083,21.32964,2.770083,2.770083,2.770083,4.986149,16.620499
Voyant分析用最終版_0046,2.506266,2.506266,2.506266,2.506266,14.53634,2.506266,5.263158,2.506266,23.809524,23.558897,2.506266,7.518797,2.506266,2.756892,2.506266
Voyant分析用最終版_0047,6.837607,4.273504,4.273504,4.273504,7.264958,4.273504,4.273504,14.957266,12.393162,15.811966,4.273504,4.273504,4.273504,4.273504,4.273504
Voyant分析用最終版_0048,3.558719,3.558719,3.558719,3.558719,3.558719,3.558719,3.558719,10.676157,8.540925,26.334518,3.558719,3.558719,3.558719,6.049822,12.811388
Voyant分析用最終版_0049,0.869565,48.869565,2.608696,12.956522,0.869565,0.869565,0.869565,0.869565,7.391304,4.956522,1.217391,1.043478,0.869565,14.869565,0.869565
Voyant分析用最終版_0050,2.369668,9.241706,2.369668,4.739337,28.43602,2.369668,2.369668,7.345971,2.369668,26.540285,2.369668,2.369668,2.369668,2.369668,2.369668
Voyant分析用最終版_0051,4.861111,2.314815,2.314815,2.314815,2.314815,2.546296,2.314815,17.36111,13.88889,28.703704,9.027778,2.314815,5.092592,2.314815,2.314815
Voyant分析用最終版_0052,3.558719,3.558719,3.558719,7.117438,7.829182,3.558719,3.558719,3.558719,3.558719,22.7758,3.558719,3.558719,13.523132,11.032029,5.69395
Voyant分析用最終版_0053,4.081633,4.081633,4.081633,4.081633,22.040816,4.081633,6.530612,4.897959,4.081633,20.408164,4.081633,4.081633,5.306122,4.081633,4.081633
Voyant分析用最終版_0054,3.378378,3.378378,3.378378,3.378378,3.378378,3.378378,3.378378,3.378378,18.91892,11.486486,3.378378,3.378378,29.054055,3.378378,3.378378
Voyant分析用最終版_0055,3.610108,3.610108,3.610108,3.610108,3.610108,3.610108,3.610108,16.606498,4.693141,35.37906,3.610108,3.610108,3.610108,3.610108,3.610108
Voyant分析用最終版_0056,2.631579,2.894737,2.631579,2.631579,33.684212,2.631579,2.631579,8.421053,6.315789,21.578947,2.631579,2.631579,3.421053,2.631579,2.631579
Voyant分析用最終版_0057,4.132231,5.785124,4.132231,4.132231,7.438017,4.132231,4.132231,5.371901,11.983471,11.983471,12.809917,4.132231,11.570248,4.132231,4.132231
Voyant分析用最終版_0058,3.623188,3.623188,3.623188,3.623188,3.623188,3.623188,3.623188,5.434782,6.15942,31.88406,6.884058,3.623188,13.405797,3.623188,3.623188
Voyant分析用最終版_0059,2.26087,0.869565,0.869565,7.130435,52.6087,0.869565,0.869565,17.913043,0.869565,9.478261,0.869565,2.782609,0.869565,0.869565,0.869565
Voyant分析用最終版_0060,0.869565,50.69565,0.869565,10.782608,4.347826,1.043478,0.869565,4,3.73913,6.956521,0.869565,6.173913,0.869565,7.043478,0.869565
Voyant分析用最終版_0061,0.869565,4.173913,1.043478,0.869565,32.434782,0.869565,0.869565,22.26087,1.478261,24.347825,0.869565,0.869565,6.434783,0.869565,1.73913
Voyant分析用最終版_0062,4.166667,4.166667,4.166667,4.166667,20.833333,4.166667,4.166667,4.166667,4.166667,25,4.166667,4.166667,4.166667,4.166667,4.166667
Voyant分析用最終版_0063,2.074689,2.074689,2.074689,2.074689,3.112033,2.074689,2.074689,7.883818,52.489626,8.713693,6.846473,2.074689,2.282158,2.074689,2.074689
Voyant分析用最終版_0064,3.378378,4.391892,3.378378,3.378378,3.378378,3.378378,3.378378,3.378378,25.675675,11.824324,7.432432,3.378378,16.891892,3.378378,3.378378
Voyant分析用最終版_0065,4.635762,2.207505,2.207505,13.024282,2.649007,2.207505,5.739515,3.97351,10.596027,21.412803,6.181015,16.997792,3.752759,2.207505,2.207505
Voyant分析用最終版_0066,5.025126,5.025126,5.025126,5.025126,14.572865,6.030151,5.025126,5.025126,5.025126,14.070351,5.025126,5.025126,8.040201,6.030151,6.030151
Voyant分析用最終版_0067,1.24844,1.24844,1.24844,1.24844,11.235955,1.24844,1.24844,11.235955,34.082398,1.24844,21.098627,1.24844,8.364544,2.746567,1.24844
Voyant分析用最終版_0068,4.901961,6.372549,4.901961,4.901961,18.627451,4.901961,4.901961,4.901961,4.901961,10.784314,4.901961,4.901961,10.294118,4.901961,4.901961
Voyant分析用最終版_0069,1.790634,3.856749,1.37741,1.37741,2.203857,1.37741,1.37741,16.666667,2.754821,44.352618,4.820936,1.515152,1.37741,1.37741,13.774104
Voyant分析用最終版_0070,4.560261,3.257329,3.257329,3.257329,36.15635,3.257329,3.257329,3.257329,7.817589,15.635179,3.257329,3.257329,3.257329,3.257329,3.257329
Voyant分析用最終版_0071,4.21941,4.21941,4.21941,4.64135,4.21941,4.21941,4.21941,9.704641,16.033755,11.392405,4.21941,4.21941,16.033755,4.21941,4.21941
Voyant分析用最終版_0072,2.832861,4.249292,2.832861,2.832861,2.832861,2.832861,2.832861,6.51558,18.696883,4.815864,17.56374,2.832861,22.66289,2.832861,2.832861
Voyant分析用最終版_0073,1.019368,1.427115,1.019368,1.019368,6.218145,1.019368,1.019368,21.100917,10.601427,40.570846,8.053007,1.019368,1.019368,1.427115,3.465851
Voyant分析用最終版_0074,4.255319,4.255319,4.255319,4.255319,4.255319,4.255319,4.255319,4.255319,15.74468,16.595745,4.255319,4.255319,16.595745,4.255319,4.255319
Voyant分析用最終版_0075,1.367989,1.367989,1.367989,2.46238,1.504788,1.367989,29.95896,13.269494,31.463748,6.155951,1.367989,4.240766,1.367989,1.367989,1.367989
Voyant分析用最終版_0076,4.444445,4.444445,4.444445,4.444445,16.888888,4.444445,4.444445,4.444445,5.777778,15.555556,4.444445,4.444445,12.888889,4.444445,4.444445
Voyant分析用最終版_0077,3.344481,4.347826,3.344481,3.344481,3.344481,3.344481,3.344481,17.056856,4.013378,18.729097,10.033445,3.344481,3.344481,5.685619,13.377926
Voyant分析用最終版_0078,3.546099,5.319149,3.546099,3.546099,3.546099,3.546099,3.546099,6.737588,19.858156,20.921986,6.737588,3.546099,8.510638,3.546099,3.546099
Voyant分析用最終版_0079,0.869565,39.73913,0.869565,1.826087,0.956522,0.869565,0.869565,0.869565,0.869565,0.869565,0.869565,0.869565,0.869565,45.130435,3.652174
Voyant分析用最終版_0080,2.688172,2.688172,2.688172,2.688172,23.11828,2.688172,2.956989,13.440861,2.688172,28.225806,2.688172,2.688172,2.688172,2.688172,5.376344
Voyant分析用最終版_0081,3.10559,3.10559,3.416149,3.726708,13.354038,3.416149,6.521739,12.732919,3.10559,23.291926,3.10559,3.10559,11.490683,3.416149,3.10559
Voyant分析用最終版_0082,4.784689,4.784689,4.784689,4.784689,17.70335,4.784689,4.784689,7.177033,4.784689,17.224881,4.784689,4.784689,5.263158,4.784689,4.784689
Voyant分析用最終版_0083,3.10559,3.10559,4.037267,7.142857,3.10559,3.10559,3.10559,17.080745,9.006211,31.67702,3.10559,3.10559,3.10559,3.10559,3.10559
Voyant分析用最終版_0084,1.754386,2.280702,2.45614,12.631579,1.754386,1.754386,1.754386,7.368421,1.754386,4.736842,29.82456,8.421053,20,1.754386,1.754386
Voyant分析用最終版_0085,4.016064,4.016064,4.016064,4.016064,12.048193,4.016064,4.016064,4.016064,4.016064,24.899599,4.016064,4.016064,14.859438,4.016064,4.016064
Voyant分析用最終版_0086,3.984064,3.984064,3.984064,3.984064,3.984064,3.984064,3.984064,3.984064,21.513945,26.693228,3.984064,3.984064,3.984064,3.984064,3.984064
Voyant分析用最終版_0087,4.444445,4.444445,4.444445,4.444445,4.444445,4.444445,4.444445,8.888889,4.444445,17.777778,4.444445,4.444445,19.555555,4.444445,4.888889
Voyant分析用最終版_0088,3.745318,3.745318,3.745318,3.745318,3.745318,3.745318,3.745318,3.745318,10.486891,20.59925,4.11985,3.745318,23.595506,3.745318,3.745318
Voyant分析用最終版_0089,9.774436,3.759398,3.759398,3.759398,3.759398,3.759398,3.759398,3.759398,3.759398,36.842105,3.759398,3.759398,3.759398,4.135338,7.894737
Voyant分析用最終版_0090,4.694836,4.694836,4.694836,5.164319,11.267605,4.694836,4.694836,4.694836,4.694836,14.084508,4.694836,4.694836,6.103287,6.103287,15.023474
Voyant分析用最終版_0091,1.908397,6.870229,4.961832,4.770992,1.908397,1.908397,18.12977,2.290076,38.358778,5.534351,1.908397,1.908397,5.725191,1.908397,1.908397
Voyant分析用最終版_0092,1.996008,1.996008,1.996008,1.996008,44.510978,1.996008,1.996008,8.383234,3.393214,18.962076,1.996008,1.996008,4.790419,1.996008,1.996008
Voyant分析用最終版_0093,12.837838,4.391892,3.378378,3.378378,4.391892,4.391892,3.378378,11.824324,4.054054,27.702704,3.378378,3.378378,3.378378,3.378378,6.756756
Voyant分析用最終版_0094,4.784689,4.784689,4.784689,4.784689,8.61244,4.784689,4.784689,4.784689,21.5311,4.784689,4.784689,4.784689,4.784689,4.784689,12.440191
Voyant分析用最終版_0095,4.016064,4.016064,4.016064,4.016064,4.016064,4.016064,4.016064,4.016064,7.630522,30.120483,4.016064,4.016064,13.654618,4.41767,4.016064
Voyant分析用最終版_0096,3.508772,3.508772,3.508772,7.368421,3.508772,3.508772,3.508772,3.508772,14.035088,22.105263,3.508772,3.508772,17.894737,3.508772,3.508772
Voyant分析用最終版_0097,2.232143,5.803571,2.232143,6.919643,2.232143,2.232143,45.3125,3.125,7.366072,2.232143,2.901786,6.25,6.696428,2.232143,2.232143
Voyant分析用最終版_0098,4.032258,4.032258,4.032258,4.032258,4.435484,4.032258,4.435484,4.032258,4.032258,27.419356,4.032258,4.032258,14.919356,4.032258,8.467742
Voyant分析用最終版_0099,4.048583,4.048583,4.048583,4.048583,4.048583,4.048583,4.048583,4.048583,14.574899,20.242915,4.048583,4.048583,16.59919,4.048583,4.048583
Voyant分析用最終版_0100,3.154574,3.154574,3.154574,3.785489,3.154574,3.154574,3.154574,3.154574,7.570978,42.271292,6.624605,3.154574,8.201893,3.154574,3.154574
